Trajectories,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,
,,5 Marker Wand & L-Frame:Top2,,,5 Marker Wand & L-Frame:Top3,,,5 Marker Wand & L-Frame:Mid,,,5 Marker Wand & L-Frame:Bottom2,,,5 Marker Wand & L-Frame:Bottom3,,,| 5 Marker Wand & L-Frame:Top2 |,| 5 Marker Wand & L-Frame:Top3 |,| 5 Marker Wand & L-Frame:Mid |,| 5 Marker Wand & L-Frame:Bottom2 |,| 5 Marker Wand & L-Frame:Bottom3 |,Trajectory Count
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Count
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,
43,0,-108.947,512.863,868.917,-385.641,349.057,870.841,-392.042,354.579,671.61,-127.848,536.925,269.239,-403.373,371.056,268.722,1014.85,1014.36,854.683,614.104,610.413,5
44,0,-108.846,512.95,868.886,-385.556,349.128,870.871,-391.957,354.638,671.585,-127.837,536.951,269.179,-403.359,371.086,268.721,1014.85,1014.38,854.649,614.098,610.421,5
45,0,-108.761,513.027,868.858,-385.483,349.193,870.892,-391.882,354.697,671.612,-127.813,536.973,269.165,-403.308,371.119,268.797,1014.86,1014.39,854.66,614.106,610.441,5
46,0,-108.633,513.08,868.836,-385.405,349.281,870.902,-391.785,354.764,671.641,-127.771,537,269.185,-403.302,371.115,268.77,1014.85,1014.4,854.667,614.13,610.423,5
47,0,-108.545,513.149,868.814,-385.289,349.369,870.925,-391.727,354.826,671.695,-127.743,537.018,269.168,-403.28,371.163,268.805,1014.86,1014.41,854.708,614.132,610.453,5
48,0,-108.458,513.214,868.782,-385.221,349.419,870.964,-391.658,354.881,671.718,-127.728,537.024,269.12,-403.254,371.173,268.835,1014.86,1014.43,854.717,614.113,610.455,5
49,0,-108.38,513.256,868.774,-385.129,349.482,870.976,-391.596,354.91,671.741,-127.733,537.025,269.087,-403.2,371.22,268.842,1014.86,1014.43,854.719,614.1,610.451,5
50,0,-108.283,513.329,868.745,-385.049,349.512,870.982,-391.512,354.956,671.734,-127.69,537.025,269.062,-403.202,371.204,268.858,1014.86,1014.41,854.694,614.081,610.45,5
51,0,-108.191,513.379,868.73,-384.945,349.578,871.023,-391.455,354.981,671.743,-127.651,537.068,269.062,-403.171,371.202,268.858,1014.87,1014.43,854.685,614.11,610.428,5
52,0,-108.103,513.437,868.687,-384.859,349.647,871.023,-391.369,355.05,671.794,-127.603,537.068,269.017,-403.14,371.232,268.902,1014.85,1014.42,854.715,614.081,610.445,5
53,0,-108.002,513.495,868.69,-384.777,349.684,871.039,-391.281,355.089,671.811,-127.585,537.091,269.026,-403.139,371.253,268.905,1014.87,1014.42,854.704,614.1,610.458,5
54,0,-107.927,513.529,868.663,-384.697,349.735,871.071,-391.235,355.118,671.806,-127.582,537.087,268.992,-403.058,371.256,268.95,1014.86,1014.43,854.691,614.081,610.427,5
55,0,-107.852,513.594,868.648,-384.566,349.812,871.095,-391.174,355.155,671.833,-127.528,537.165,268.996,-403.039,371.278,268.955,1014.87,1014.43,854.7,614.141,610.43,5
56,0,-107.752,513.62,868.627,-384.464,349.86,871.133,-391.103,355.218,671.864,-127.502,537.156,268.959,-403.049,371.284,268.976,1014.85,1014.44,854.717,614.111,610.449,5
57,0,-107.65,513.691,868.617,-384.362,349.925,871.177,-390.989,355.296,671.884,-127.494,537.149,268.928,-403,371.311,268.97,1014.87,1014.46,854.714,614.09,610.431,5
58,0,-107.54,513.75,868.586,-384.312,349.973,871.161,-390.949,355.312,671.884,-127.478,537.157,268.924,-402.95,371.348,269.024,1014.86,1014.45,854.702,614.092,610.444,5
59,0,-107.46,513.796,868.57,-384.178,350.004,871.206,-390.87,355.329,671.924,-127.448,537.179,268.908,-402.915,371.342,269.04,1014.86,1014.44,854.704,614.098,610.424,5
60,0,-107.355,513.862,868.542,-384.1,350.057,871.201,-390.806,355.384,671.899,-127.41,537.212,268.875,-402.913,371.346,269.054,1014.86,1014.43,854.678,614.104,610.432,5
61,0,-107.27,513.899,868.526,-384.006,350.096,871.23,-390.739,355.411,671.906,-127.392,537.223,268.867,-402.893,371.362,269.081,1014.86,1014.43,854.665,614.106,610.44,5
62,0,-107.204,513.935,868.517,-383.928,350.153,871.235,-390.657,355.454,671.989,-127.399,537.208,268.818,-402.833,371.382,269.066,1014.86,1014.42,854.711,614.074,610.406,5
63,0,-107.092,513.997,868.472,-383.818,350.17,871.243,-390.591,355.48,671.979,-127.365,537.196,268.807,-402.821,371.406,269.101,1014.84,1014.4,854.684,614.051,610.428,5
64,0,-107.012,514.034,868.458,-383.718,350.227,871.262,-390.522,355.508,672.012,-127.3,537.279,268.845,-402.806,371.393,269.112,1014.84,1014.39,854.689,614.127,610.415,5
65,0,-106.902,514.056,868.436,-383.602,350.266,871.28,-390.461,355.524,672.014,-127.292,537.276,268.803,-402.742,371.407,269.16,1014.82,1014.38,854.669,614.104,610.403,5
66,0,-106.822,514.104,868.417,-383.552,350.256,871.298,-390.401,355.569,672.036,-127.274,537.24,268.755,-402.736,371.436,269.166,1014.82,1014.37,854.678,614.047,610.419,5
67,0,-106.747,514.121,868.397,-383.436,350.3,871.274,-390.335,355.577,672.04,-127.246,537.26,268.77,-402.688,371.432,269.17,1014.8,1014.32,854.655,614.066,610.387,5
68,0,-106.633,514.159,868.389,-383.369,350.32,871.301,-390.219,355.592,672.037,-127.213,537.247,268.753,-402.669,371.429,269.218,1014.8,1014.33,854.605,614.04,610.394,5
69,0,-106.577,514.196,868.375,-383.275,350.366,871.345,-390.181,355.596,672.048,-127.221,537.239,268.747,-402.634,371.423,269.222,1014.81,1014.35,854.598,614.032,610.368,5
70,0,-106.498,514.189,868.333,-383.204,350.365,871.337,-390.151,355.607,672.082,-127.2,537.273,268.729,-402.618,371.451,269.216,1014.76,1014.31,854.616,614.05,610.373,5
71,0,-106.394,514.239,868.323,-383.116,350.398,871.33,-390.038,355.607,672.11,-127.147,537.315,268.699,-402.606,371.453,269.251,1014.76,1014.28,854.587,614.063,610.381,5
72,0,-106.33,514.255,868.279,-383.044,350.429,871.36,-390.027,355.635,672.078,-127.135,537.306,268.688,-402.558,371.441,269.261,1014.73,1014.29,854.568,614.047,610.346,5
73,0,-106.274,514.279,868.275,-382.977,350.468,871.351,-389.952,355.667,672.137,-127.157,537.302,268.662,-402.556,371.446,269.265,1014.73,1014.27,854.593,614.037,610.351,5
74,0,-106.157,514.312,868.26,-382.879,350.46,871.375,-389.891,355.678,672.135,-127.133,537.306,268.675,-402.512,371.435,269.295,1014.72,1014.25,854.569,614.041,610.328,5
75,0,-106.102,514.339,868.254,-382.794,350.495,871.386,-389.83,355.703,672.137,-127.101,537.29,268.635,-402.498,371.486,269.29,1014.73,1014.24,854.552,614.003,610.347,5
76,0,-106.033,514.371,868.229,-382.739,350.529,871.37,-389.773,355.703,672.129,-127.082,537.292,268.626,-402.48,371.485,269.304,1014.71,1014.22,854.52,613.997,610.341,5
77,0,-105.963,514.409,868.215,-382.666,350.547,871.415,-389.688,355.748,672.168,-127.073,537.357,268.599,-402.427,371.496,269.339,1014.71,1014.24,854.531,614.041,610.328,5
78,0,-105.896,514.423,868.209,-382.605,350.567,871.438,-389.679,355.743,672.164,-127.063,537.363,268.6,-402.418,371.485,269.365,1014.71,1014.24,854.522,614.043,610.327,5
79,0,-105.86,514.498,868.16,-382.56,350.598,871.408,-389.582,355.802,672.195,-127.037,537.352,268.557,-402.386,371.479,269.366,1014.7,1014.21,854.527,614.01,610.303,5
80,0,-105.782,514.53,868.166,-382.481,350.636,871.423,-389.563,355.806,672.22,-127.001,537.409,268.572,-402.395,371.495,269.375,1014.71,1014.21,854.539,614.06,610.323,5
81,0,-105.758,514.551,868.152,-382.413,350.654,871.436,-389.499,355.844,672.22,-126.975,537.414,268.57,-402.354,371.517,269.402,1014.71,1014.2,854.526,614.057,610.32,5
82,0,-105.686,514.59,868.141,-382.395,350.689,871.421,-389.48,355.855,672.202,-126.991,537.411,268.516,-402.347,371.492,269.396,1014.71,1014.19,854.508,614.034,610.298,5
83,0,-105.638,514.652,868.117,-382.334,350.696,871.467,-389.412,355.883,672.255,-126.985,537.42,268.54,-402.317,371.52,269.384,1014.72,1014.21,854.53,614.051,610.29,5
84,0,-105.571,514.69,868.124,-382.254,350.75,871.488,-389.38,355.903,672.235,-126.975,537.41,268.521,-402.318,371.483,269.411,1014.74,1014.22,854.508,614.032,610.28,5
85,0,-105.537,514.705,868.103,-382.199,350.772,871.489,-389.361,355.943,672.23,-126.942,537.451,268.501,-402.288,371.527,269.426,1014.72,1014.2,854.512,614.052,610.294,5
86,0,-105.517,514.751,868.096,-382.185,350.793,871.474,-389.294,355.952,672.254,-126.934,537.468,268.505,-402.242,371.528,269.433,1014.74,1014.19,854.504,614.068,610.268,5
87,0,-105.454,514.803,868.089,-382.107,350.844,871.507,-389.254,355.986,672.299,-126.926,537.489,268.474,-402.255,371.519,269.457,1014.75,1014.21,854.535,614.071,610.281,5
88,0,-105.412,514.839,868.08,-382.098,350.845,871.519,-389.245,356.012,672.27,-126.939,537.492,268.473,-402.234,371.541,269.477,1014.76,1014.22,854.519,614.076,610.289,5
89,0,-105.41,514.882,868.063,-382.021,350.907,871.532,-389.211,356.055,672.265,-126.922,537.513,268.458,-402.222,371.554,269.471,1014.77,1014.22,854.518,614.084,610.287,5
90,0,-105.393,514.925,868.062,-382.015,350.937,871.527,-389.171,356.074,672.314,-126.899,537.516,268.471,-402.185,371.545,269.491,1014.78,1014.22,854.546,614.088,610.266,5
91,0,-105.365,514.982,868.044,-381.989,350.965,871.531,-389.128,356.105,672.274,-126.872,537.558,268.45,-402.193,371.547,269.502,1014.79,1014.23,854.508,614.11,610.276,5
